,id,note__user__username,note__text,docstatement__text,docstatement__id,docstatement__technology__name
10,50349,,,"In the 450 ppm scenario, the high carbon price induces early use of BECCS.",158.0,C5_Carbon_price
11,50349,,,"In the 450 ppm scenario, the high carbon price induces early use of BECCS.",158.0,H2_2C
12,50360,,,"Limitations in long-term technology availability has implications for short-term emission reductions. This is in particular important for the technologies relevant for negative emissions (bioenergy and CCS) Our study confirms earlier work that limiting technologies relevant for negative emissions implies that higher short-term emission reductions are required to achieve long-term climate targets. For instance, restrictions on bioenergy leads to a reduction in the 2020 cost-optimal emission level for achieving a 450 ppm target of 4 GtCO2-eq compared to the full technology case",159.0,H2_2C
13,50360,,,"Limitations in long-term technology availability has implications for short-term emission reductions. This is in particular important for the technologies relevant for negative emissions (bioenergy and CCS) Our study confirms earlier work that limiting technologies relevant for negative emissions implies that higher short-term emission reductions are required to achieve long-term climate targets. For instance, restrictions on bioenergy leads to a reduction in the 2020 cost-optimal emission level for achieving a 450 ppm target of 4 GtCO2-eq compared to the full technology case",159.0,D1_Dynamics
14,50361,,,The results show the importance of CCS and bioenergy for meeting long-term climate targets at moderate costs in the IMAGE framework Limiting bio-energy would increase the costs by 70 % for meeting low concentration targets. Excluding CCS makes these targets even infeasible.,160.0,C1_Lower
15,50361,,,The results show the importance of CCS and bioenergy for meeting long-term climate targets at moderate costs in the IMAGE framework Limiting bio-energy would increase the costs by 70 % for meeting low concentration targets. Excluding CCS makes these targets even infeasible.,160.0,H7_Lim_tech
16,50361,,,"Both bio-energy and CCS play a key role in low forcing IMAGE runs, partly due to their importance for BECCS.",161.0,H2_2C
17,50361,,,"Both bio-energy and CCS play a key role in low forcing IMAGE runs, partly due to their importance for BECCS.",161.0,R1_Important
18,50412,,,"These analyses also show that stringent climate goals can be met without CCS technologies, but doing so increases estimated mitigation costs by 50–250% (e.g., IPCC 2014a).",162.0,C1_Lower
19,50495,,,"Finally, to determine the effectiveness of bioenergy at reducing total emissions, we determine total emission reductions (due to bioenergy) per unit bioenergy use. This effectiveness changes across carbon taxes as abatement technologies such as BECCS become cost-effective",163.0,C5_Carbon_price
20,50495,,,"Finally, to determine the effectiveness of bioenergy at reducing total emissions, we determine total emission reductions (due to bioenergy) per unit bioenergy use. This effectiveness changes across carbon taxes as abatement technologies such as BECCS become cost-effective",163.0,Z6_other
21,50520,,,"At high tax levels, BECCS becomes an important mitigation technology leading to large emission reductions in this sector.",164.0,C5_Carbon_price
22,64209,,,"alleviates the deep reductions of GHG emissions that are necessary to meet stringent climate change mitigation targets (van Vuuren et al. 2010a, b; Azar et al. 2010; Kriegler et al. 2013a; Edenhofer et al. 2010).",171.0,D6_Flex
23,64209,,,"This study argues that two key features of bioenergy—versatility and negative emissions—determine its use and value as a mitigation option. Versatility allows bioenergy to be deployed in the way most valuable for decarbonizing energy use (as measured in terms of revenues from its energy production), and its negative emissions capability suggests to use it in a way which maximizes the amount of CO2 withdrawn from the atmosphere.",172.0,T1_Versatile
24,64209,,,"This study argues that two key features of bioenergy—versatility and negative emissions—determine its use and value as a mitigation option. Versatility allows bioenergy to be deployed in the way most valuable for decarbonizing energy use (as measured in terms of revenues from its energy production), and its negative emissions capability suggests to use it in a way which maximizes the amount of CO2 withdrawn from the atmosphere.",172.0,Z4_technology
25,64209,,,"In the framework of our study, the latter is incentivized by the fact that the carbon price accrues as revenue to BECCS operators for every ton of CO2 withdrawn (carbon revenue).",173.0,C5_Carbon_price
26,64216,,,Wise et al. (2009) observes that carbon prices not only reduce deforestation but may even lead to afforestation.,175.0,C5_Carbon_price
27,64219,hilj,"        ""Bioenergy with or without CCS is one of the major mitigation options in stringent climate policy scenarios because of its versatility and its potential for negative emissions""","The general finding across all scenarios shows that bioenergy is one of the major mitigation options in stringent climate policy scenarios. This paramount importance of bioenergy for achieving low-stabilization targets can be attributed to its two key characteristics: its versatility for producing different secondary energy carriers, and the option to create negative emissions by combining bioenergy with CCS.",177.0,T1_Versatile
28,64219,hilj,"        ""Bioenergy with or without CCS is one of the major mitigation options in stringent climate policy scenarios because of its versatility and its potential for negative emissions""","The general finding across all scenarios shows that bioenergy is one of the major mitigation options in stringent climate policy scenarios. This paramount importance of bioenergy for achieving low-stabilization targets can be attributed to its two key characteristics: its versatility for producing different secondary energy carriers, and the option to create negative emissions by combining bioenergy with CCS.",177.0,R1_Important
29,64219,hilj,"        ""Bioenergy with or without CCS is one of the major mitigation options in stringent climate policy scenarios because of its versatility and its potential for negative emissions""","The general finding across all scenarios shows that bioenergy is one of the major mitigation options in stringent climate policy scenarios. This paramount importance of bioenergy for achieving low-stabilization targets can be attributed to its two key characteristics: its versatility for producing different secondary energy carriers, and the option to create negative emissions by combining bioenergy with CCS.",177.0,H2_2C
30,52115,delm,"Missing beginning of sentence: ""The results indicate that, without constraints on the deployment of low-carbon technologies, CO2 emissions pathways achieving 450 and 550 ppm targets peak around..."""," 2035 and 2040, respectively, and start to decline, exhibiting substantial negative emissions by the end of the century (Fig. 1)",189.0,D1_Dynamics
31,52115,delm,"Missing beginning of sentence: ""The results indicate that, without constraints on the deployment of low-carbon technologies, CO2 emissions pathways achieving 450 and 550 ppm targets peak around..."""," 2035 and 2040, respectively, and start to decline, exhibiting substantial negative emissions by the end of the century (Fig. 1)",189.0,H2_2C
32,64246,,,"Under climate policy, biofuel production with CCS has two purposes. First, it lowers emissions in the transportation sector, for which other decarbonization methods, such as electrification, are rather costly. Second, it produces negative emissions, which offset emissions from other sources",190.0,D3_Residual
33,52115,delm,"Missing beginning of sentence: ""The results indicate that, without constraints on the deployment of low-carbon technologies, CO2 emissions pathways achieving 450 and 550 ppm targets peak around..."""," Delays in policy action extend the period of growing CO2 emissions, followed by more drastic emissions reduction, eventually generating greater negative emissions by the end of the century than the case without delays.",191.0,D1_Dynamics
34,52115,delm,"Missing beginning of sentence: ""The results indicate that, without constraints on the deployment of low-carbon technologies, CO2 emissions pathways achieving 450 and 550 ppm targets peak around..."""," 2035 and 2040, respectively, and start to decline, exhibiting substantial negative emissions by the end of the century (Fig. 1)",189.0,H4_Delay
35,64246,,,"The BIGCC and B2H2 processes feature higher capture rates and, therefore, enable the higher negative emissions that are required in the more stringent mitigation scenarios. In general, tightening the climate target or restricting the bioenergy potential increases the deployment of technologies with higher capture rates, in order to maximize negative emissions per unit of primary bioenergy used.",195.0,H2_2C
36,64246,,,"The BIGCC and B2H2 processes feature higher capture rates and, therefore, enable the higher negative emissions that are required in the more stringent mitigation scenarios. In general, tightening the climate target or restricting the bioenergy potential increases the deployment of technologies with higher capture rates, in order to maximize negative emissions per unit of primary bioenergy used.",195.0,T1_Versatile
37,52115,delm,"Missing beginning of sentence: ""The results indicate that, without constraints on the deployment of low-carbon technologies, CO2 emissions pathways achieving 450 and 550 ppm targets peak around...""","In particular, bio-CCS, which generates net negative emissions, offers considerable flexibility in the timing of mitigation action, leading to a major part of emissions mitigation being conducted in the longer term [2]. ",196.0,H4_Delay
38,52115,delm,"Missing beginning of sentence: ""The results indicate that, without constraints on the deployment of low-carbon technologies, CO2 emissions pathways achieving 450 and 550 ppm targets peak around...""","In particular, bio-CCS, which generates net negative emissions, offers considerable flexibility in the timing of mitigation action, leading to a major part of emissions mitigation being conducted in the longer term [2]. ",196.0,D1_Dynamics
39,64247,,,"The value of bioenergy and BECCS increases with the stringency of the mitigation target, and is particularly important for low stabilization at 450 ppm CO2e. BECCS is particularly valuable because its negative emissions provide an additional degree of freedom for the amount and timing of emission reductions (Kriegler et al. 2013a).",197.0,R1_Important
40,64247,,,"The value of bioenergy and BECCS increases with the stringency of the mitigation target, and is particularly important for low stabilization at 450 ppm CO2e. BECCS is particularly valuable because its negative emissions provide an additional degree of freedom for the amount and timing of emission reductions (Kriegler et al. 2013a).",197.0,H2_2C
41,64247,,,"The value of bioenergy and BECCS increases with the stringency of the mitigation target, and is particularly important for low stabilization at 450 ppm CO2e. BECCS is particularly valuable because its negative emissions provide an additional degree of freedom for the amount and timing of emission reductions (Kriegler et al. 2013a).",197.0,D6_Flex
42,64247,,,"Since emissions from fossil fuel combustion in earlier periods can be compensated by negative emissions at a later stage (up to 50 % in the 450-FullTech scenario), negative emissions allow for the postponement of some emission reductions in the short-term and the preservation of some residual emissions in the long run. This is even more significant if overshooting of the stabilization target (in terms of radiative forcing) is allowed before 2100.",200.0,O1_Overshoot
43,64247,,,"Since emissions from fossil fuel combustion in earlier periods can be compensated by negative emissions at a later stage (up to 50 % in the 450-FullTech scenario), negative emissions allow for the postponement of some emission reductions in the short-term and the preservation of some residual emissions in the long run. This is even more significant if overshooting of the stabilization target (in terms of radiative forcing) is allowed before 2100.",200.0,D3_Residual
44,64247,,,"Since emissions from fossil fuel combustion in earlier periods can be compensated by negative emissions at a later stage (up to 50 % in the 450-FullTech scenario), negative emissions allow for the postponement of some emission reductions in the short-term and the preservation of some residual emissions in the long run. This is even more significant if overshooting of the stabilization target (in terms of radiative forcing) is allowed before 2100.",200.0,D4_Fossil_fuels
45,64247,,,"In the 450-ppm scenario, BECCS in the second half of the century compensates for the emissions of the preceding decades. Limiting the bioenergy potential to 100 EJ/year or excluding CCS strongly reduces this inter-temporal flexibility.",202.0,H7_Lim_tech
46,64247,,,"In the 450-ppm scenario, BECCS in the second half of the century compensates for the emissions of the preceding decades. Limiting the bioenergy potential to 100 EJ/year or excluding CCS strongly reduces this inter-temporal flexibility.",202.0,D6_Flex
47,52133,,," The relatively higher cost increase in the case with constrained CCS is due to the decreased opportunity of negative emissions from bio-CCS in the second halfofthe century, requiring more drastic, immediate mitigation action in the near term, which is costly. ",201.0,Z3_mitigation_costs
48,52133,,," The relatively higher cost increase in the case with constrained CCS is due to the decreased opportunity of negative emissions from bio-CCS in the second halfofthe century, requiring more drastic, immediate mitigation action in the near term, which is costly. ",201.0,D1_Dynamics
49,64249,,,"Due to the creation ofnegative emissions, more biomass use allows for higher deployment offossil energy. This leads to the following conclusion: while biomass is an important substitute for fossil fuels in climate mitigation scenarios, given a climate target it also displays characteristics of a complement to fossil fuels.",203.0,D4_Fossil_fuels
50,52133,,," The relatively higher cost increase in the case with constrained CCS is due to the decreased opportunity of negative emissions from bio-CCS in the second halfofthe century, requiring more drastic, immediate mitigation action in the near term, which is costly. ",201.0,C1_Lower
51,64251,hilj,"        ""The deployment of BECCS technologies depends on the rate at which CO2 can be sequestered into geological reservoirs""",the short to long-term deployment of fossil fuels and BECCS technologies additionally depend on the rate at which CO2 can be sequestered into geological reservoirs,204.0,Z4_technology
52,64254,,,"Maintaining today’s fossil fuel deployment over the next decades under stringent climate policies induces a strong demand for BECCS in the second half of the century. This is reflected by the strongly increasing prices for biomass. While bioenergy prices in the Base-FullTech scenario range between 1 $/GJ in 2010 and 12 $/GJ in 2100, prices reach 32 $/GJ in the 550-ppm scenario and 73 $/GJ in the 450-FullTech scenario in 2100",205.0,T2_Food_price
53,52149,,," if the diffusion of low-carbon technologies that would play a major role in the longer term (e.g., CCS) is severely constrained, greater mitigation in the near term is required resulting in higher mitigation cost compared to the case in which the diffusion of technologies that play a major role in the near term (e.g., renewables) is severely constrained, in which case, greater opportunities for mitigation in the longer term using negative emissions technologies (bio-CCS) exist.",206.0,C1_Lower
54,52149,,," if the diffusion of low-carbon technologies that would play a major role in the longer term (e.g., CCS) is severely constrained, greater mitigation in the near term is required resulting in higher mitigation cost compared to the case in which the diffusion of technologies that play a major role in the near term (e.g., renewables) is severely constrained, in which case, greater opportunities for mitigation in the longer term using negative emissions technologies (bio-CCS) exist.",206.0,D1_Dynamics
55,52149,,," if the diffusion of low-carbon technologies that would play a major role in the longer term (e.g., CCS) is severely constrained, greater mitigation in the near term is required resulting in higher mitigation cost compared to the case in which the diffusion of technologies that play a major role in the near term (e.g., renewables) is severely constrained, in which case, greater opportunities for mitigation in the longer term using negative emissions technologies (bio-CCS) exist.",206.0,H7_Lim_tech
56,64255,,,"Our analysis shows that BECCS can be a crucial mitigation option with high deployment levels and a high technology value, particularly for low stabilization targets.",207.0,H2_2C
57,64255,,,"Our analysis shows that BECCS can be a crucial mitigation option with high deployment levels and a high technology value, particularly for low stabilization targets.",207.0,R1_Important
58,64255,,,Not having BECCS available strongly increases mitigation costs. ,208.0,C1_Lower
59,64632,,, we focus our attention on the magnitude of international financial flows and crop prices that accompany large-scale deployment ofBECCS while limiting climate change to 2 °C,210.0,H2_2C
60,64255,,,"Negative emissions are valuable because they increase the amount of permissible carbon emissions from fossil fuels and therefore allow postponing some emissions reductions in the short-term. Thus, for a given climate target, bioenergy acts as a complement to fossils rather than a substitute.",211.0,D4_Fossil_fuels
61,64255,,,"Negative emissions are valuable because they increase the amount of permissible carbon emissions from fossil fuels and therefore allow postponing some emissions reductions in the short-term. Thus, for a given climate target, bioenergy acts as a complement to fossils rather than a substitute.",211.0,D1_Dynamics
62,64635,,,"to illustrate the global economic implications of introducing a climate change mitigation policy limiting global temperature rise to approximately 2 °C. In particular, we explore the implication of relying on negative emissions related to bioenergy with CCS by comparing a climate policy scenario where BECCS is available to one where CCS is not available.",212.0,H2_2C
63,64635,,,"to illustrate the global economic implications of introducing a climate change mitigation policy limiting global temperature rise to approximately 2 °C. In particular, we explore the implication of relying on negative emissions related to bioenergy with CCS by comparing a climate policy scenario where BECCS is available to one where CCS is not available.",212.0,H7_Lim_tech
64,64255,,,"flexibility into a commitment since the prolonged short-term deployment of fossil fuels rely on the long-term potential of biomass and the availability of CCS. Given the uncertainties about CCS technology and the concerns about the sustainability of large-scale production of bioenergy, a strong reliance on the availability of these two options could be a risky strategy.",213.0,Z4_technology
65,64635,,,"In particular, IA models project a significant share of primary energy with CCS technologies by the end of the century, especially in stringent climate scenarios, with high reliance on BECCS. The widespread deployment of BECCS in GCAM projections is based on the assumption that biomass can be used across different sectors, such as power plants and bio-refineries, and traded internationally similarly to fossil resources or grains [15]",215.0,H7_Lim_tech
66,64635,,,"In particular, IA models project a significant share of primary energy with CCS technologies by the end of the century, especially in stringent climate scenarios, with high reliance on BECCS. The widespread deployment of BECCS in GCAM projections is based on the assumption that biomass can be used across different sectors, such as power plants and bio-refineries, and traded internationally similarly to fossil resources or grains [15]",215.0,D1_Dynamics
67,64635,,,"In particular, IA models project a significant share of primary energy with CCS technologies by the end of the century, especially in stringent climate scenarios, with high reliance on BECCS. The widespread deployment of BECCS in GCAM projections is based on the assumption that biomass can be used across different sectors, such as power plants and bio-refineries, and traded internationally similarly to fossil resources or grains [15]",215.0,T1_Versatile
68,64637,,,"Figure 1. Patterns ofCCS deployment, with focus on BECCS, in 13 integrated assessment models participating to the EMF-27 study and in GCAM results for the RCP 2.6 scenario, stabilizing radiative forcing to 2.6 W m−2 (red triangles).",216.0,H2_2C
69,64638,,,the 2 Degree scenario reaches net negative emissions by the end ofthe century. ,217.0,D1_Dynamics
70,64638,,,the 2 Degree scenario reaches net negative emissions by the end ofthe century. ,217.0,H2_2C
71,64640,,," In the 2 Degree scenario, net global CO2 emissions, reported in figure 2, become negative in 2085.",218.0,H2_2C
72,64640,,," In the 2 Degree scenario, net global CO2 emissions, reported in figure 2, become negative in 2085.",218.0,D1_Dynamics
73,64640,,,"At that point, expenditures related to credits for CO2 sequestration become greater than revenues associated with the carbon tax. This has several implications. First, specific mechanisms to compensate biomass producers are required (or in an equivalent system—compensating BECCS deployment). Second, some sort of revenue stream is needed to cover the costs ofthe mitigation policy (e.g., reallocating revenue from the mitigation policy in previous years which involves recycling over decades and across regions if money collected when CO2 emissions are positive were to be used to pay for carbon removal credits).",226.0,C3_Burden
74,64640,,,"Finally, international cooperation is required since taxpayers will effectively subsidize biomass producers, who might be located in different regions. If carbon taxes were used to deploy BECCS, global net tax revenues from a climate policy, reported in figure 3, would peak around 2030 at ∼3% ofGDP, vanish all together around 2080, and become a burden to governments potentially amounting to a net subsidy of 0.2% of GDP by 2100.",227.0,C4_Distribution
75,64640,,,"Finally, international cooperation is required since taxpayers will effectively subsidize biomass producers, who might be located in different regions. If carbon taxes were used to deploy BECCS, global net tax revenues from a climate policy, reported in figure 3, would peak around 2030 at ∼3% ofGDP, vanish all together around 2080, and become a burden to governments potentially amounting to a net subsidy of 0.2% of GDP by 2100.",227.0,C3_Burden
76,64640,,,"Reaching the same climate change mitigation objective without negative emissions (2 Degree No CCS scenario) avoids these issues but increases the burden of the mitigation policy on the global economic activity. That is, the cost of mitigation is higher in a scenario without CCS compared to the scenario in which CCS is available.",228.0,C1_Lower
77,64652,,,"The availability ofCCS, and BECCS in particular, has a substantial effect on the carbon price required to mitigate climate change, and therefore on associated revenues available to governments. While carbon tax revenues inevitably go through an increase and decline pattern under a fixed cumulative emissions budget, net tax revenues are substantially lower with BECCS available because BECCS activities need to be subsidized.",229.0,C5_Carbon_price
78,64652,,,"The availability ofCCS, and BECCS in particular, has a substantial effect on the carbon price required to mitigate climate change, and therefore on associated revenues available to governments. While carbon tax revenues inevitably go through an increase and decline pattern under a fixed cumulative emissions budget, net tax revenues are substantially lower with BECCS available because BECCS activities need to be subsidized.",229.0,C3_Burden
79,64652,,,"Furthermore, net negative emissions for the economy as a whole indicates that the climate change mitigation program is a net cost to the governments, and other revenue sources (e.g., from non-climate sources) are needed to pay for the negative emissions. ",230.0,C3_Burden
80,64652,,,"However, CCS tends to temper the decline in fossil fuel trade both by reducing CO2 emissions when coupled to fossil fuels and offsetting them when coupled to bioenergy (the net negative emissions from BECCS compensate positive emissions from fossil fuels). ",231.0,D4_Fossil_fuels
81,64652,,,"BECCS effectively enhances the emissions reduction capacity of bioenergy, by capturing and storing the carbon that is typically emitted when biomass is converted in final energy carriers (e.g., electricity or liquid fuels). In other words each joule of bioenergy transformed to a final energy carrier with CCS is up to twice as effective in emissions mitigation as one without CCS. This results in lower carbon prices than a scenario without CCS;",232.0,C5_Carbon_price
82,64652,,,"The increase in food prices is strongly correlated with carbon prices. Thus, the availability of BECCS tempers the upward pressure on price of agricultural products by reducing carbon prices. When carbon prices are equivalent, the presence ofBECCS, however, increases food prices.",233.0,T2_Food_price
83,64652,,," In particular, the exclusion of BECCS results in increased tax revenues, reduced fossil fuel trade, and increased food prices. The carbon price is a major mechanism through which the effects ofBECCS availability are realized",235.0,C3_Burden
84,64652,,," In particular, the exclusion of BECCS results in increased tax revenues, reduced fossil fuel trade, and increased food prices. The carbon price is a major mechanism through which the effects ofBECCS availability are realized",235.0,D4_Fossil_fuels
85,64652,,," In particular, the exclusion of BECCS results in increased tax revenues, reduced fossil fuel trade, and increased food prices. The carbon price is a major mechanism through which the effects ofBECCS availability are realized",235.0,T2_Food_price
86,64654,,,"While this paper demonstrates that GCAM can generate scenarios consistent with achieving the 2 °C goal without relying on net negative emissions under these assumptions, these scenarios also show significant increases in climate change mitigation costs, and significant reductions in total energy use, as compared to scenarios with BECCS.",236.0,C1_Lower
87,55904,delm,"PArsing error should contain: "" Includes negative global emissions by the end of the century, and thus requiresbroad deployment of bioCCS technologies"""," Includes advanced technologies, including some means of decarbonizing the transportation sector or achieving negative emissions in other sectors to compensate for the inability to decarbonize transportation.",237.0,D3_Residual
88,55904,delm,"PArsing error should contain: "" Includes negative global emissions by the end of the century, and thus requiresbroad deployment of bioCCS technologies"""," Includes negative emissions in Group 1 by 2050 and negative global emissions by the end of the century, and thus requires broad deployment of bioCCS technologies ",238.0,D1_Dynamics
89,64643,delm,"        FAIL ""Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%."" Dynamics","Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%.",241.0,D1_Dynamics
90,64643,delm,"FAIL ""The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable."" Food price","Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%.",241.0,D1_Dynamics
91,64643,delm,"FAIL ""Similar results are reported by Klein et al [23], which suggest that the ability of bioenergy to provide negative emissions gives rise to a strong nexus between biomass prices and carbon prices, since the carbon value of biomass tends to exceed its pure energy value. Therefore, Klein et al [23] identify the revenues generated from negative emissions, rather than from energy production, as the primary driving factor behind investments into bioenergy. However, our results show that the nexus between carbon price and biomass price applies in scenarios without BECCS as well, as shown by biomass price reported in figure 7. "" CO2 price","Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%.",241.0,D1_Dynamics
92,64643,delm,"FAIL ""We observe that deployment of CCS, including BECCS, would soften the impact on agricultural price increases, as shown in figure 7. This result is due to the lower carbon prices found in the scenario with CCS. At equivalent carbon prices, the availability of BECCS results in higher food prices."" food prices","Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%.",241.0,D1_Dynamics
93,55927,,,"While the challenge of stabilization in the “Not-to-Exceed” scenario is immediate emissions mitigation, the challenge in the “Overshoot” scenario is accelerating emissions mitigation. This is particularly true in the “Delayed Accessions” where Group 1 countries require negative emissions by 2050.",242.0,O1_Overshoot
94,64643,delm,"        FAIL ""Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%."" Dynamics","The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable.",243.0,T2_Food_price
95,64643,delm,"FAIL ""The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable."" Food price","The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable.",243.0,T2_Food_price
96,64643,delm,"FAIL ""Similar results are reported by Klein et al [23], which suggest that the ability of bioenergy to provide negative emissions gives rise to a strong nexus between biomass prices and carbon prices, since the carbon value of biomass tends to exceed its pure energy value. Therefore, Klein et al [23] identify the revenues generated from negative emissions, rather than from energy production, as the primary driving factor behind investments into bioenergy. However, our results show that the nexus between carbon price and biomass price applies in scenarios without BECCS as well, as shown by biomass price reported in figure 7. "" CO2 price","The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable.",243.0,T2_Food_price
97,64643,delm,"FAIL ""We observe that deployment of CCS, including BECCS, would soften the impact on agricultural price increases, as shown in figure 7. This result is due to the lower carbon prices found in the scenario with CCS. At equivalent carbon prices, the availability of BECCS results in higher food prices."" food prices","The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable.",243.0,T2_Food_price
98,55927,,,"While the challenge of stabilization in the “Not-to-Exceed” scenario is immediate emissions mitigation, the challenge in the “Overshoot” scenario is accelerating emissions mitigation. This is particularly true in the “Delayed Accessions” where Group 1 countries require negative emissions by 2050.",242.0,H4_Delay
99,64643,delm,"        FAIL ""Additionally, CCS significantly contributes to the portfolio of technologies deployed: ∼17 Gt CO2 yr−1 are stored using CCS technologies in 2050, primarily for electricity and liquid fuels production, with BECCS accounting for 50% of it. About 31 GtCO2 yr−1 are stored using CCS in 2100, with BECCS responsible for 55%."" Dynamics","Similar results are reported by Klein et al [23], which suggest that the ability of bioenergy to provide negative emissions gives rise to a strong nexus between biomass prices and carbon prices, since the carbon value of biomass tends to exceed its pure energy value.",244.0,T2_Food_price
100,64643,delm,"FAIL ""The higher price ofbioenergy results in increases in the prices of other agricultural commodities, as the competition for land puts upward pressure on food prices until those options become equally profitable."" Food price","Similar results are reported by Klein et al [23], which suggest that the ability of bioenergy to provide negative emissions gives rise to a strong nexus between biomass prices and carbon prices, since the carbon value of biomass tends to exceed its pure energy value.",244.0,T2_Food_price
